Group,Category,Code,Long Description,Short Description
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9094,"Inj, sutimlimab-jome, 10 mg
                                    
                                        
Terminated September 30, 2022.","Inj, sutimlimab-jome, 10 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9095,"Inj, tebentafusp-tebn, 1 mcg
                                    
                                        
Terminated September 30, 2022.","Inj, tebentafusp-tebn, 1 mcg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9096,"Injection, filgrastim-ayow, biosimilar, (releuko), 1 microgram
                                    
                                        
Terminated September 30, 2022.","Inj, releuko, 1 mcg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9097,"Inj, faricimab-svoa, 0.1 mg
                                    
                                        
Terminated September 30, 2022.","Inj, faricimab-svoa, 0.1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9098,"Ciltacabtagene autoleucel, up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells, including leukapheresis and dose preparation procedures, per therapeutic dose
                                    
                                        
Terminated September 30, 2022.",Ciltacabtagene car pos t
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9101,"Injection, oliceridine, 0.1 mg","Inj, oliceridine 0.1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9113,"Injection, pantoprazole sodium, per vial","Inj pantoprazole sodium, via"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9121,"Injection, argatroban, per 5 mg
                                    
                                        
Terminated December 31, 2016.","Injection, argatroban"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9122,"Mometasone furoate sinus implant, 10 micrograms (sinuva)
                                    
                                        
Terminated March 31, 2021.",Mometasone furoate (sinuva)
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9132,"Prothrombin complex concentrate (human), kcentra, per i.u. of factor ix activity
                                    
                                        
Terminated June 30, 2021.","Kcentra, per i.u."
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9133,"Factor ix (antihemophilic factor, recombinant), rixubis, per i.u.
                                    
                                        
Terminated December 31, 2014.",Factor ix recombinant
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9134,"Factor xiii (antihemophilic factor, recombinant), tretten, per 10 i.u.
                                    
                                        
Terminated December 31, 2014.",Factor xiii a-subunit recomb
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9135,"Factor ix (antihemophilic factor, recombinant), alprolix, per i.u.
                                    
                                        
Terminated December 31, 2014.",Factor ix (alprolix)
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9136,"Injection, factor viii, fc fusion protein, (recombinant), per i.u.
                                    
                                        
Terminated March 31, 2015.",Factor viii (eloctate)
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9137,"Injection, factor viii (antihemophilic factor, recombinant) pegylated, 1 i.u.
                                    
                                        
Terminated December 31, 2016.",Adynovate factor viii recom
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9138,"Injection, factor viii (antihemophilic factor, recombinant) (nuwiq), 1 i.u.
                                    
                                        
Terminated December 31, 2016.",Nuwiq factor viii recomb
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9139,"Injection, factor ix, albumin fusion protein (recombinant), idelvion, 1 i.u.
                                    
                                        
Terminated December 31, 2016.","Idelvion, 1 i.u."
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9140,"Injection, factor viii (antihemophilic factor, recombinant) (afstyla), 1 i.u.
                                    
                                        
Terminated December 31, 2017.",Afstyla factor viii recomb
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9141,"Injection, factor viii, (antihemophilic factor, recombinant), pegylated-aucl (jivi), 1 i.u.
                                    
                                        
Terminated June 30, 2019.",Factor viii pegylated-aucl
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9142,"Injection, bevacizumab-maly, biosimilar, (alymsys), 10 mg
                                    
                                        
Terminated December 31, 2022.","Inj, alymsys, 10 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9143,"Cocaine hydrochloride nasal solution (numbrino), 1 mg",Cocaine hcl nasal (numbrino)
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9144,"Injection, bupivacaine (posimir), 1 mg","Inj, bupivacaine (posimir)"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9145,"Injection, aprepitant, (aponvie), 1 mg","Inj, aponvie, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9146,"Injection, mirvetuximab soravtansine-gynx, 1 mg
                                    
                                        
Terminated June 30, 2023.","Inj, elahere, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9147,"Injection, tremelimumab-actl, 1 mg
                                    
                                        
Terminated June 30, 2023.","Inj, tremelimumab-actl, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9148,"Injection, teclistamab-cqyv, 0.5 mg
                                    
                                        
Terminated June 30, 2023.","Inj, teclistamab-cqyv, 0.5mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9149,"Injection, teplizumab-mzwv, 5 mcg
                                    
                                        
Terminated June 30, 2023.","Inj, teplizumab-mzwv, 5 mcg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9150,"Xenon xe-129 hyperpolarized gas, diagnostic, per study dose
                                    
                                        
Terminated September 30, 2024.","Xe129 xenon, diagnostic"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9151,"Injection, pegcetacoplan, 1 mg
                                    
                                        
Terminated September 30, 2023.","Inj, pegcetacoplan 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9152,"Injection, aripiprazole, (abilify asimtufii), 1 mg
                                    
                                        
Terminated December 31, 2023.","Inj, abilify asimtufii, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9153,"Injection, amisulpride, 1 mg
                                    
                                        
Terminated December 31, 2023.","Inj, amisulpride, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9154,"Injection, buprenorphine extended-release (brixadi), 1 mg
                                    
                                        
Terminated December 31, 2023.",Inj buprenorph (brixadi) 1mg
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9155,"Injection, epcoritamab-bysp, 0.16 mg
                                    
                                        
Terminated December 31, 2023.","Inj epcoritamab-bysp,0.16 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9156,"Flotufolastat f 18, diagnostic, 1 millicurie
                                    
                                        
Terminated December 31, 2023.","Flotufolastat f18, dia 1 mci"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9157,"Injection, tofersen, 1 mg
                                    
                                        
Terminated December 31, 2023.","Inj, tofersen, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9158,"Injection, risperidone, (uzedy), 1 mg
                                    
                                        
Terminated December 31, 2023.","Inj, uzedy, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9159,"Injection, prothrombin complex concentrate (human), balfaxar, per i.u. of factor ix activity
                                    
                                        
Terminated March 31, 2024.","Inj, balfaxar, per i.u"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9160,"Injection, daxibotulinumtoxina-lanm, 1 unit
                                    
                                        
Terminated March 31, 2024.",Inj daxibotulinumtoxina-lanm
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9161,"Injection, aflibercept hd, 1 mg
                                    
                                        
Terminated March 31, 2024.","Inj, aflibercept hd, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9162,"Injection, avacincaptad pegol, 0.1 mg
                                    
                                        
Terminated March 31, 2024.","Inj, avacincaptad peg 0.1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9163,"Injection, talquetamab-tgvs, 0.25 mg
                                    
                                        
Terminated March 31, 2024.",Inj talquetamab-tgvs 0.25 mg
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9164,"Cantharidin for topical administration, 0.7%, single unit dose applicator (3.2 mg)
                                    
                                        
Terminated March 31, 2024.","Cantharidin top, applicator"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9165,"Injection, elranatamab-bcmm, 1 mg
                                    
                                        
Terminated March 31, 2024.","Inj, elranatamab-bcmm, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9166,"Injection, secukinumab, intravenous, 1 mg","Injection, secukinumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9167,"Injection, apadamtase alfa, 10 units","Injection, apadamtase alfa"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9168,"Injection, mirikizumab-mrkz, 1 mg","Injection, mirikizumab-mrkz"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9169,"Injection, nogapendekin alfa inbakicept-pmln, for intravesical use, 1 microgram
                                    
                                        
Terminated December 31, 2024.","Inj, nogapendekin pmln 1 mcg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9170,"Injection, tarlatamab-dlle, 1 mg
                                    
                                        
Terminated December 31, 2024.","Inj, tarlatamab-dlle, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9171,"Injection, pegulicianine, 1 mg
                                    
                                        
Terminated December 31, 2024.","Inj, pegulicianine, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9172,"Injection, fidanacogene elaparvovec-dzkt, per therapeutic dose
                                    
                                        
Terminated December 31, 2024.","Inj, beqvez, per tx dose"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9173,"Injection, filgrastim-txid (nypozi), biosimilar, 1 microgram","Inj, nypozi, 1 mcg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9248,"Injection, clevidipine butyrate, 1 mg","Inj, clevidipine butyrate"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9250,"Human plasma fibrin sealant, vapor-heated, solvent-detergent (artiss), 2 ml",Artiss fibrin sealant
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9254,"Injection, lacosamide, 1 mg","Injection, lacosamide"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9257,"Injection, bevacizumab, 0.25 mg",Bevacizumab injection
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9275,"Injection, hexaminolevulinate hydrochloride, 100 mg, per study dose
                                    
                                        
Terminated December 31, 2018.",Hexaminolevulinate hcl
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9285,"Lidocaine 70 mg/tetracaine 70 mg, per patch","Patch, lidocaine/tetracaine"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9290,"Injection, bupivacaine liposome, 1 mg
                                    
                                        
Terminated December 31, 2024.","Inj, bupivacaine liposome"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9293,"Injection, glucarpidase, 10 units","Injection, glucarpidase"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9300,"Injection, indigotindisulfonate sodium, 1 mg","Indigotindisulfonate, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9301,"Obecabtagene autoleucel, up to 410 million cd19 car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose",Obecabtagene car pos t
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9302,"Injection, zanidatamab-hrii, 2 mg","Inj zanidatamab, 2 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9303,"Injection, zolbetuximab-clzb, 1 mg","Inj zolbetuximab, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9304,"Injection, marstacimab-hncq, 0.5 mg","Inj marstacimab, 0.5 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9349,"Puraply, and puraply antimicrobial, any type, per square centimeter
                                    
                                        
Terminated December 31, 2016.","Puraply, puraply antimic"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9352,"Microporous collagen implantable tube (neuragen nerve guide), per centimeter length","Neuragen nerve guide, per cm"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9353,"Microporous collagen implantable slit tube (neurawrap nerve protector), per centimeter length","Neurawrap nerve protector,cm"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9354,"Acellular pericardial tissue matrix of non-human origin (veritas), per square centimeter","Veritas collagen matrix, cm2"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9355,"Collagen nerve cuff (neuromatrix), per 0.5 centimeter length","Neuromatrix nerve cuff, cm"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9356,"Tendon, porous matrix of cross-linked collagen and glycosaminoglycan matrix (tenoglide tendon protector sheet), per square centimeter","Tenoglide tendon prot, cm2"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9358,"Dermal substitute, native, non-denatured collagen, fetal bovine origin (surgimend collagen matrix), per 0.5 square centimeters","Surgimend, fetal"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9359,"Porous purified collagen matrix bone void filler (integra mozaik osteoconductive scaffold putty, integra os osteoconductive scaffold putty), per 0.5 cc","Implnt,bon void filler-putty"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9360,"Dermal substitute, native, non-denatured collagen, neonatal bovine origin (surgimend collagen matrix), per 0.5 square centimeters","Surgimend, neonatal"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9361,"Collagen matrix nerve wrap (neuromend collagen nerve wrap), per 0.5 centimeter length",Neuromend nerve wrap
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9362,"Porous purified collagen matrix bone void filler (integra mozaik osteoconductive scaffold strip), per 0.5 cc","Implnt,bon void filler-strip"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9363,"Skin substitute, integra meshed bilayer wound matrix, per square centimeter",Integra meshed bil wound mat
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9364,"Porcine implant, permacol, per square centimeter","Porcine implant, permacol"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9399,Unclassified drugs or biologicals,Unclassified drugs or biolog
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9407,"Iodine i-131 iobenguane, diagnostic, 1 millicurie
                                    
                                        
Terminated December 31, 2019.","Iodine i-131 iobenguane, dx"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9408,"Iodine i-131 iobenguane, therapeutic, 1 millicurie
                                    
                                        
Terminated December 31, 2019.","Iodine i-131 iobenguane, tx"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9441,"Injection, ferric carboxymaltose, 1 mg
                                    
                                        
Terminated June 30, 2014.","Inj, ferric carboxymaltose"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9442,"Injection, belinostat, 10 mg
                                    
                                        
Terminated December 31, 2015.","Injection, belinostat"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9443,"Injection, dalbavancin, 10 mg
                                    
                                        
Terminated December 31, 2015.","Injection, dalbavancin"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9444,"Injection, oritavancin, 10 mg
                                    
                                        
Terminated December 31, 2015.","Injection, oritavancin"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9445,"Injection, c-1 esterase inhibitor (recombinant), ruconest, 10 units
                                    
                                        
Terminated December 31, 2015.","C-1 esterase, ruconest"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9446,"Injection, tedizolid phosphate, 1 mg
                                    
                                        
Terminated December 31, 2015.","Inj, tedizolid phosphate"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9447,"Injection, phenylephrine and ketorolac, 4 ml vial
                                    
                                        
Terminated September 30, 2019.","Inj, phenylephrine ketorolac"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9448,"Netupitant 300 mg and palonosetron 0.5 mg, oral
                                    
                                        
Terminated June 30, 2015.",Oral netupitant palonosetron
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9449,"Injection, blinatumomab, 1 mcg
                                    
                                        
Terminated December 31, 2015.","Inj, blinatumomab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9450,"Injection, fluocinolone acetonide intravitreal implant, 0.01 mg
                                    
                                        
Terminated December 31, 2015.",Fluocinolone acetonide implt
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9451,"Injection, peramivir, 1 mg
                                    
                                        
Terminated December 31, 2015.","Injection, peramivir"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9452,"Injection, ceftolozane 50 mg and tazobactam 25 mg
                                    
                                        
Terminated December 31, 2015.","Inj, ceftolozane/tazobactam"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9453,"Injection, nivolumab, 1 mg
                                    
                                        
Terminated December 31, 2015.","Injection, nivolumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9454,"Injection, pasireotide long acting, 1 mg
                                    
                                        
Terminated December 31, 2015.","Inj, pasireotide long acting"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9455,"Injection, siltuximab, 10 mg
                                    
                                        
Terminated December 31, 2015.","Injection, siltuximab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9456,"Injection, isavuconazonium sulfate, 1 mg
                                    
                                        
Terminated December 31, 2015.","Inj, isavuconazonium sulfate"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9457,"Injection, sulfur hexafluoride lipid microsphere, per ml
                                    
                                        
Terminated December 31, 2015.",Lumason contrast agent
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9458,"Florbetaben f18, diagnostic, per study dose, up to 8.1 millicuries
                                    
                                        
Terminated June 30, 2016.",Florbetaben f18
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9459,"Flutemetamol f18, diagnostic, per study dose, up to 5 millicuries
                                    
                                        
Terminated June 30, 2016.",Flutemetamol f18
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9460,"Injection, cangrelor, 1 mg","Injection, cangrelor"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9461,"Choline c 11, diagnostic, per study dose
                                    
                                        
Terminated December 31, 2016.","Choline c 11, diagnostic"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9462,"Injection, delafloxacin, 1 mg","Injection, delafloxacin"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9463,"Injection, aprepitant, 1 mg
                                    
                                        
Terminated December 31, 2018.","Injection, aprepitant"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9464,"Injection, rolapitant, 0.5 mg
                                    
                                        
Terminated December 31, 2018.","Injection, rolapitant"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9465,"Hyaluronan or derivative, durolane, for intra-articular injection, per dose
                                    
                                        
Terminated December 31, 2018.","Injection, durolane"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9466,"Injection, benralizumab, 1 mg
                                    
                                        
Terminated December 31, 2018.","Injection, benralizumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9467,"Injection, rituximab and hyaluronidase, 10 mg
                                    
                                        
Terminated December 31, 2018.",Inj rituximab hyaluronidase
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9468,"Injection, factor ix (antihemophilic factor, recombinant), glycopegylated, rebinyn, 1 i.u.
                                    
                                        
Terminated December 31, 2018.","Inj, factor ix, rebinyn"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9469,"Injection, triamcinolone acetonide, preservative-free, extended-release, microsphere formulation, 1 mg
                                    
                                        
Terminated June 30, 2018.",Inj triamcinolone acetonide
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9470,"Injection, aripiprazole lauroxil, 1 mg
                                    
                                        
Terminated December 31, 2016.",Aripiprazole lauroxil im
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9471,"Hyaluronan or derivative, hymovis, for intra-articular injection, 1 mg
                                    
                                        
Terminated December 31, 2016.","Hymovis, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9472,"Injection, talimogene laherparepvec, 1 million plaque forming units (pfu)
                                    
                                        
Terminated December 31, 2016.",Inj talimogene laherparepvec
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9473,"Injection, mepolizumab, 1 mg
                                    
                                        
Terminated December 31, 2016.","Injection, mepolizumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9474,"Injection, irinotecan liposome, 1 mg
                                    
                                        
Terminated December 31, 2016.","Inj, irinotecan liposome"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9475,"Injection, necitumumab, 1 mg
                                    
                                        
Terminated December 31, 2016.","Injection, necitumumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9476,"Injection, daratumumab, 10 mg
                                    
                                        
Terminated December 31, 2016.","Injection, daratumumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9477,"Injection, elotuzumab, 1 mg
                                    
                                        
Terminated December 31, 2016.","Injection, elotuzumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9478,"Injection, sebelipase alfa, 1 mg
                                    
                                        
Terminated December 31, 2016.","Injection, sebelipase alfa"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9479,"Instillation, ciprofloxacin otic suspension, 6 mg
                                    
                                        
Terminated December 31, 2016.","Instill, ciprofloxacin otic"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9480,"Injection, trabectedin, 0.1 mg
                                    
                                        
Terminated December 31, 2016.","Injection, trabectedin"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9481,"Injection, reslizumab, 1 mg
                                    
                                        
Terminated December 31, 2016.","Injection, reslizumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9482,"Injection, sotalol hydrochloride, 1 mg",Sotalol hydrochloride iv
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9483,"Injection, atezolizumab, 10 mg
                                    
                                        
Terminated December 31, 2017.","Injection, atezolizumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9484,"Injection, eteplirsen, 10 mg
                                    
                                        
Terminated December 31, 2017.","Injection, eteplirsen"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9485,"Injection, olaratumab, 10 mg
                                    
                                        
Terminated December 31, 2017.","Injection, olaratumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9486,"Injection, granisetron extended release, 0.1 mg
                                    
                                        
Terminated December 31, 2017.","Inj, granisetron ext"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9487,"Ustekinumab, for intravenous injection, 1 mg
                                    
                                        
Terminated June 30, 2017.","Ustekinumab iv inj, 1 mg"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9488,"Injection, conivaptan hydrochloride, 1 mg",Conivaptan hcl
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9489,"Injection, nusinersen, 0.1 mg
                                    
                                        
Terminated December 31, 2017.","Injection, nusinersen"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9490,"Injection, bezlotoxumab, 10 mg
                                    
                                        
Terminated December 31, 2017.","Injection, bezlotoxumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9491,"Injection, avelumab, 10 mg
                                    
                                        
Terminated December 31, 2017.","Injection, avelumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9492,"Injection, durvalumab, 10 mg
                                    
                                        
Terminated December 31, 2018.","Injection, durvalumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9493,"Injection, edaravone, 1 mg
                                    
                                        
Terminated December 31, 2018.","Injection, edaravone"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9494,"Injection, ocrelizumab, 1 mg
                                    
                                        
Terminated December 31, 2017.","Injection, ocrelizumab"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9497,"Loxapine, inhalation powder, 10 mg
                                    
                                        
Terminated December 31, 2018.","Loxapine, inhalation powder"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9507,"Plasma, high titer covid-19 convalescent, each unit",Covid-19 convalescent plasma
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9600,"Percutaneous transcatheter placement of drug eluting intracoronary stent(s), with coronary angioplasty when performed; single major coronary artery or branch",Perc drug-el cor stent sing
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9601,"Percutaneous transcatheter placement of drug-eluting intracoronary stent(s), with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)",Perc drug-el cor stent bran
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9602,"Percutaneous transluminal coronary atherectomy, with drug eluting intracoronary stent, with coronary angioplasty when performed; single major coronary artery or branch",Perc d-e cor stent ather s
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9603,"Percutaneous transluminal coronary atherectomy, with drug-eluting intracoronary stent, with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)",Perc d-e cor stent ather br
